50
1	2	24		1	3	22		3	4	35		2	5	12		2	6	0
4	6	44		3	7	74		6	7	64		5	8	42		5	9	-4
6	9	52		7	9	8		7	10	53		8	10	6		1	11	-32
2	12	0		7	12	1		9	12	4		10	12	12		1	13	28
12	13	44		3	14	-44		4	14	48		5	14	92		3	15	84
6	15	-23		12	15	2		8	16	27		11	16	98		13	16	85
15	16	14		4	17	94		11	17	65		13	17	52		3	18	58
11	18	54		13	18	2		14	18	21		13	19	-69		15	19	-23
6	20	54		7	20	53		9	20	9		15	20	78		1	21	71
6	21	7		9	21	23		18	21	67		19	21	-78		2	22	-24
9	22	-9		12	22	85		2	23	87		6	23	16		10	23	85
11	23	40		12	23	-50		15	23	80		1	24	36		3	24	100
6	24	22		9	24	93		15	24	17		16	24	-83		17	24	52
7	25	68		9	25	20		10	25	64		22	25	74		2	26	49
3	26	18		4	26	57		11	26	84		24	26	41		2	27	30
14	27	0		19	27	79		20	27	0		9	28	69		10	28	13
13	28	36		20	28	2		26	28	66		10	29	-7		18	29	71
19	29	100		28	29	8		1	30	0		6	30	75		10	30	1
23	30	-31		24	30	77		4	31	84		7	31	43		10	31	100
15	31	53		16	31	4		30	31	37		7	32	49		11	32	16
27	32	79		10	33	95		25	33	0		32	33	52		1	34	98
3	34	16		16	34	-37		20	34	61		22	34	97		26	34	-44
9	35	22		11	35	82		20	35	67		22	35	37		28	35	69
30	35	75		1	36	74		11	36	100		20	36	8		27	36	55
32	36	80		35	36	17		2	37	15		32	37	20		1	38	33
2	38	27		13	38	-71		14	38	-78		18	38	0		21	38	-100
28	38	92		29	38	-29		33	38	-7		35	38	40		36	38	41
4	39	19		5	39	7		33	39	99		36	39	68		23	40	0
39	40	2		23	41	29		32	41	76		37	41	8		40	41	4
5	42	78		10	42	27		15	42	47		20	42	74		29	42	82
33	42	-15		37	42	51		40	42	95		25	43	-73		39	43	39
9	44	-7		14	44	11		26	44	0		42	44	69		11	45	20
19	45	-87		28	45	5		35	45	-55		37	45	71		38	45	16
40	45	27		44	45	72		7	46	74		9	46	32		10	46	22
17	46	0		23	46	40		25	46	-36		42	46	96		3	47	-21
10	47	25		25	47	26		28	47	8		30	47	36		13	48	69
17	48	70		20	48	-63		22	48	59		25	48	23		32	48	-3
44	48	53		47	48	9		13	49	64		24	49	92		31	49	52
35	49	8		37	49	85		44	49	11		46	49	39		11	50	20
13	50	26		14	50	-22		16	50	54		31	50	36		47	50	61
